id,token,tag
0,В,O
1,статье,O
2,представлены,O
3,результаты,O
4,разработки,Contrib
5,проблемного,Contrib
6,задания,Contrib
7,к,Contrib
8,учебной,Contrib
9,дисциплине,Contrib
10,«,Contrib
11,Археологическое,Contrib
12,наследие,Contrib
13,Алтая,Contrib
14,»,Contrib
15,",",O
16,изучаемой,O
17,студентами,O
18,второго,O
19,курса,O
20,Института,O
21,истории,O
22,",",O
23,социальных,O
24,коммуникаций,O
25,и,O
26,права,O
27,Алтайского,O
28,государственного,O
29,педагогического,O
30,университета,O
31,",",O
32,обучающихся,O
33,по,O
34,направлению,O
35,подготовки,O
36,«,O
37,Туризм,O
38,»,O
39,.,O
40,Обсуждается,Contrib
41,корректность,Contrib
42,интерпретации,Contrib
43,археологической,Contrib
44,находки,Contrib
45,–,Contrib
46,железного,Contrib
47,чекана,Contrib
48,из,Contrib
49,могилы,Contrib
50,3,Contrib
51,кургана,Contrib
52,15,Contrib
53,Новотроицкого-2,Contrib
54,",",O
55,на,O
56,обухе,O
57,которого,O
58,предполагается,O
59,наличие,O
60,антропоморфного,O
61,изображения,O
62,.,O
63,На,O
64,основе,O
65,изучения,Contrib
66,истории,Contrib
67,обнаружения,Contrib
68,чекана,Contrib
69,",",O
70,сличения,Contrib
71,его,Contrib
72,прорисовки,Contrib
73,в,Contrib
74,публикациях,Contrib
75,",",Contrib
76,текущего,Contrib
77,состояния,Contrib
78,с,Contrib
79,фотографией,Contrib
80,",",Contrib
81,сделанной,Contrib
82,после,Contrib
83,обнаружения,Contrib
84,находки,Contrib
85,",",O
86,высказываются,Conc
87,сомнения,Conc
88,в,Conc
89,достоверности,Conc
90,принятой,Conc
91,в,Conc
92,литературе,Conc
93,интерпретации,Conc
94,.,O
95,Обсуждаются,O
96,возможности,O
97,использования,O
98,данного,O
99,дискуссионного,O
100,сюжета,O
101,в,O
102,вузовской,O
103,образовательной,O
104,практике,O
105,.,O
106,Автор,O
107,приходит,O
108,к,O
109,выводу,O
110,о,O
111,перспективности,Conc
112,учебных,Conc
113,проектов,Conc
114,",",Conc
115,предполагающих,Conc
116,поливариативность,Conc
117,суждений,Conc
118,.,O
