id,token,tag
0,Фортификационные,O
1,памятники,O
2,Восточного,O
3,Приморья,O
4,до,O
5,сих,O
6,пор,O
7,практически,O
8,не,O
9,изучены,O
10,.,O
11,В,O
12,целях,O
13,решения,O
14,данной,O
15,проблемы,O
16,исследованы,Contrib
17,городища,Contrib
18,",",Contrib
19,укрепления,Contrib
20,и,Contrib
21,защитные,Contrib
22,стены,Contrib
23,бассейна,Contrib
24,Маргаритовки,Contrib
25,.,O
26,Выявлено,Conc
27,четыре,Conc
28,разнотипных,Conc
29,укрепленных,Conc
30,памятника,Conc
31,:,Conc
32,горное,Conc
33,Щербаковское,Conc
34,городище,Conc
35,чжурчжэньского,Conc
36,государства,Conc
37,Восточное,Conc
38,Ся,Conc
39,XIII,Conc
40,в.,Conc
41,",",Conc
42,а,Conc
43,также,Conc
44,относящиеся,Conc
45,к,Conc
46,эпохе,Conc
47,Средневековья,Conc
48,мысовое,Conc
49,городище,Conc
50,Сенокосное-1,Conc
51,",",Conc
52,сопоставимое,Conc
53,с,Conc
54,польцевской,Conc
55,культурой,Conc
56,",",Conc
57,мысовое,Conc
58,городище,Conc
59,Маргаритово,Conc
60,",",Conc
61,Каменный,Conc
62,вал,Conc
63,в,Conc
64,устье,Conc
65,Маргаритовки,Conc
66,.,O
67,Геофизическая,O
68,характеристика,O
69,территории,O
70,–,O
71,замыкание,O
72,верховьев,O
73,Маргаритовки,O
74,на,O
75,г.,O
76,Перевальная,O
77,с,O
78,расположенной,O
79,на,O
80,ней,O
81,одноименной,O
82,контрольно-пропускной,O
83,средневековой,O
84,крепостью,O
85,и,O
86,выход,O
87,устья,O
88,реки,O
89,в,O
90,бухту,O
91,Моряк-Рыболов,O
92,–,O
93,свидетельствует,O
94,о,O
95,функционировании,Conc
96,здесь,Conc
97,сухопутной,Conc
98,дороги,Conc
99,",",Conc
100,идущей,Conc
101,с,Conc
102,западной,Conc
103,стороны,Conc
104,Сихотэ-Алиня,Conc
105,через,Conc
106,г.,Conc
107,Перевальная,Conc
108,в,Conc
109,сторону,Conc
110,Японского,Conc
111,моря,Conc
112,.,O
113,Сухопутная,Conc
114,и,Conc
115,морская,Conc
116,дорожнотранспортные,Conc
117,артерии,Conc
118,требовали,Conc
119,охраны,Conc
120,и,Conc
121,контроля,Conc
122,",",O
123,что,O
124,подтверждается,O
125,возведением,O
126,длинного,O
127,каменного,O
128,вала,O
129,по,O
130,горному,O
131,отрогу,O
132,Сихотэ-Алиня,O
133,в,O
134,устье,O
135,Маргаритовки,O
136,.,O
