id,token,tag
0,Анализируется,Contrib
1,контент,Contrib
2,наиболее,Contrib
3,популярных,Contrib
4,нетематических,Contrib
5,новосибирских,Contrib
6,пабликов,Contrib
7,.,O
8,Представлены,Contrib
9,аудиторные,Contrib
10,характеристики,Contrib
11,",",Contrib
12,такие,Contrib
13,как,Contrib
14,подписчики,Contrib
15,(,Contrib
16,в,Contrib
17,том,Contrib
18,числе,Contrib
19,динамика,Contrib
20,за,Contrib
21,год,Contrib
22,),Contrib
23,",",Contrib
24,лайки,Contrib
25,",",Contrib
26,комментарии,Contrib
27,",",Contrib
28,репосты,Contrib
29,",",Contrib
30,как,Contrib
31,средние,Contrib
32,",",Contrib
33,так,Contrib
34,и,Contrib
35,медианные,Contrib
36,значения,Contrib
37,.,O
38,Проанализировано,Contrib
39,содержание,Contrib
40,пабликов,Contrib
41,с,Contrib
42,точки,Contrib
43,зрения,Contrib
44,тематического,Contrib
45,охвата,Contrib
46,постов,Contrib
47,",",O
48,составлен,Contrib
49,рейтинг,Contrib
50,основных,Contrib
51,тематических,Contrib
52,блоков,Contrib
53,",",O
54,выявлено,Contrib
55,место,Contrib
56,общественно-политической,Contrib
57,проблематики,Contrib
58,.,O
59,Большое,O
60,внимание,O
61,уделяется,O
62,интенциональной,O
63,направленности,O
64,текстов,O
65,",",O
66,реализации,O
67,в,O
68,них,O
69,различных,O
70,функций,O
71,массовой,O
72,коммуникации,O
73,.,O
74,Это,O
75,позволило,O
76,охарактеризовать,Contrib
77,неорганизованные,Contrib
78,локальные,Contrib
79,практики,Contrib
80,",",Contrib
81,в,Contrib
82,которых,Contrib
83,«,Contrib
84,слабые,Contrib
85,агенты,Contrib
86,»,Contrib
87,воспроизводят,Contrib
88,окружающую,Contrib
89,их,Contrib
90,социальную,Contrib
91,реальность,Contrib
92,.,O
