id,token,tag
0,Представлена,Contrib
1,информация,Contrib
2,о,Contrib
3,кафедре,Contrib
4,квантовой,Contrib
5,оптики,Contrib
6,Новосибирского,Contrib
7,государственного,Contrib
8,университета,Contrib
9,.,O
10,Кратко,Contrib
11,описана,Contrib
12,история,Contrib
13,создания,Contrib
14,кафедры,Contrib
15,ее,O
16,основателем,O
17,членом-корреспондентом,O
18,РАН,O
19,Сергеем,O
20,Глебовичем,O
21,Раутианом,O
22,",",O
23,описаны,Contrib
24,основные,Contrib
25,направления,Contrib
26,подготовки,Contrib
27,студентов,Contrib
28,и,Contrib
29,их,Contrib
30,связь,Contrib
31,с,Contrib
32,научными,Contrib
33,исследованиями,Contrib
34,преподавателей,Contrib
35,и,Contrib
36,студентов,Contrib
37,кафедры,Contrib
38,.,O
