id,token,tag
0,В,O
1,статье,O
2,описана,Contrib
3,система,Contrib
4,подготовки,Contrib|Task
5,научно-инженерных,Contrib|Task
6,кадров,Contrib|Task
7,на,Contrib
8,кафедре,Contrib
9,физики,Contrib
10,плазмы,Contrib
11,физического,Contrib
12,факультета,Contrib
13,НГУ,Contrib
14,с,O
15,активным,O
16,участием,O
17,в,O
18,этом,O
19,процессе,O
20,научных,O
21,сотрудников,O
22,плазменных,O
23,лабораторий,O
24,Института,O
25,ядерной,O
26,физики,O
27,им,O
28,.,O
29,Г.,O
30,И.,O
31,Будкера,O
32,СО,O
33,РАН,O
34,.,O
35,В,O
36,тексте,O
37,дано,Contrib
38,представление,Contrib
39,о,Contrib
40,плазме,Contrib
41,",",Contrib
42,как,Contrib
43,о,Contrib
44,предмете,Contrib
45,",",Contrib
46,изучаемом,Contrib
47,на,Contrib
48,этой,Contrib
49,кафедре,Contrib
50,",",O
51,и,O
52,далее,O
53,отражена,Contrib
54,следующая,Contrib
55,информация,Contrib
56,:,Contrib
57,история,Contrib
58,создания,Contrib
59,кафедры,Contrib
60,",",Contrib
61,читаемые,Contrib
62,по,Contrib
63,кафедре,Contrib
64,спецкурсы,Contrib
65,",",Contrib
66,тематика,Contrib
67,бакалаврских,Contrib
68,и,Contrib
69,магистерских,Contrib
70,диссертаций,Contrib
71,",",Contrib
72,достижения,Contrib
73,выпускников,Contrib
74,кафедры,Contrib
75,в,Contrib
76,последнем,Contrib
77,десятилетии,Contrib
78,.,O
79,С,O
80,учетом,O
81,основной,O
82,тематики,O
83,научных,O
84,исследований,O
85,в,O
86,плазменных,O
87,лабораториях,O
88,ИЯФ,O
89,в,O
90,тексте,O
91,представлен,Contrib
92,обзор,Contrib
93,работ,Contrib
94,на,Contrib
95,работающих,Contrib
96,в,Contrib
97,Институте,Contrib
98,плазменных,Contrib
99,установках,Contrib
100,и,O
101,обозначена,Contrib
102,перспектива,Contrib
103,создания,Contrib
104,линейной,Contrib
105,плазменной,Contrib
106,ловушки,Contrib
107,следующего,Contrib
108,поколения,Contrib
109,(,Contrib
110,ГДМЛ,Contrib
111,),Contrib
112,.,O
113,Особое,Contrib
114,внимание,Contrib
115,уделено,Contrib
116,перспективе,Contrib
117,использования,Contrib
118,открытых,Contrib
119,магнитных,Contrib
120,систем,Contrib
121,для,Contrib
122,удержания,Contrib
123,горячей,Contrib
124,плазмы,Contrib
125,применительно,Contrib
126,к,Contrib
127,решению,Contrib
128,проблемы,Contrib
129,управляемого,Contrib|Task
130,термоядерного,Contrib|Task
131,синтеза,Contrib|Task
132,",",O
133,поскольку,O
134,эти,O
135,системы,O
136,должны,O
137,послужить,O
138,полем,O
139,основной,O
140,деятельности,O
141,будущих,O
142,выпускников,O
143,кафедры,O
144,физики,O
145,плазмы,O
146,.,O
