id,token,tag
0,В,O
1,статье,O
2,представлена,Contrib
3,кафедра,Contrib
4,высшей,Contrib
5,математики,Contrib
6,физического,Contrib
7,факультета,Contrib
8,Новосибирского,Contrib
9,государственного,Contrib
10,университета,Contrib
11,.,O
12,Рассказывается,Contrib
13,об,Contrib
14,истории,Contrib
15,создания,Contrib
16,кафедры,Contrib
17,",",Contrib
18,ее,Contrib
19,традициях,Contrib
20,и,Contrib
21,методах,Contrib
22,",",Contrib
23,которые,Contrib
24,используют,Contrib
25,ее,Contrib
26,преподаватели,Contrib
27,.,O
28,Читатель,O
29,также,O
30,узнает,O
31,некоторые,Contrib
32,основные,Contrib
33,сведения,Contrib
34,о,Contrib
35,коллективе,Contrib
36,кафедры,Contrib
37,и,Contrib
38,особенностях,Contrib
39,преподаваемых,Contrib
40,курсов,Contrib
41,.,O
