id,token,tag
0,Актуальной,O
1,задачей,O
2,является,O
3,поиск,Task
4,альтернативных,Task
5,источников,Task
6,топлива,Task
7,.,O
8,Наиболее,O
9,привлекательным,O
10,из,O
11,них,O
12,является,O
13,водород,O
14,",",O
15,поскольку,O
16,при,O
17,его,O
18,горении,O
19,образуется,O
20,только,O
21,вода,O
22,.,O
23,Однако,O
24,ввиду,O
25,специфических,O
26,свойств,O
27,водорода,O
28,его,O
29,широкое,O
30,применение,O
31,в,O
32,качестве,O
33,топлива,O
34,не,O
35,представляется,O
36,возможным,O
37,.,O
38,Существует,O
39,идея,O
40,использования,O
41,химических,O
42,носителей,O
43,водорода,O
44,таких,O
45,как,O
46,",",O
47,например,O
48,",",O
49,аммиак,O
50,.,O
51,Для,O
52,улучшения,O
53,характеристик,O
54,горения,O
55,аммиака,O
56,в,O
57,него,O
58,можно,O
59,добавить,O
60,небольшое,O
61,количество,O
62,водорода,O
63,",",O
64,который,O
65,может,O
66,быть,O
67,получен,O
68,из,O
69,самого,O
70,аммиака,O
71,.,O
72,В,O
73,работе,O
74,представлены,Contrib
75,экспериментальные,Contrib
76,данные,Contrib
77,по,Contrib
78,структуре,Contrib
79,пламен,Contrib
80,смесей,Contrib
81,NH3/H2/O2/,Contrib
82,Ar,Contrib
83,при,Contrib
84,давлении,Contrib
85,4,Contrib
86,атм,Contrib
87,.,O
88,Значения,O
89,коэффициента,O
90,избытка,O
91,топлива,O
92,составляли,O
93,"0,8",O
94,",",O
95,"1,0",O
96,и,O
97,"1,2",O
98,",",O
99,соотношение,O
100,NH3/,O
101,H2,O
102,бралось,O
103,равным,O
104,1/1,O
105,.,O
106,Для,O
107,измерения,O
108,структуры,O
109,пламен,O
110,использован,O
111,метод,Method
112,зондовой,Method
113,молекулярно-пучковой,Method
114,масс-спектрометрии,Method
115,с,O
116,мягкой,Method
117,ионизацией,Method
118,электронным,Method
119,ударом,Method
120,.,O
121,Для,O
122,стабилизации,O
123,пламен,O
124,использовалась,O
125,плоская,O
126,горелка,O
127,.,O
128,Температурные,O
129,профили,O
130,в,O
131,пламени,O
132,измерялись,O
133,при,O
134,помощи,O
135,тонких,O
136,термопар,O
137,S-типа,O
138,.,O
139,Численное,O
140,моделирование,O
141,проводилось,O
142,при,O
143,помощи,O
144,модуля,O
145,PREMIX,O
146,из,O
147,программного,O
148,пакета,O
149,CHEMKIN,O
150,.,O
151,Сравнение,O
152,экспериментальных,O
153,и,O
154,численных,O
155,данных,O
156,позволило,O
157,выбрать,O
158,химико-кинетический,O
159,механизм,O
160,окисления,O
161,смесей,O
162,NH3/H2,O
163,из,O
164,числа,O
165,представленных,O
166,в,O
167,литературе,O
168,",",O
169,обладающий,O
170,наилучшей,O
171,предсказательной,O
172,способностью,O
173,.,O
174,Экспериментальные,O
175,и,O
176,численные,O
177,данные,O
178,показали,O
179,",",O
180,что,O
181,основными,Conc
182,азотсодержащими,Conc
183,соединениями,Conc
184,в,Conc
185,зоне,Conc
186,конечных,Conc
187,продуктов,Conc
188,горения,Conc
189,являются,Conc
190,N2,Conc
191,и,Conc
192,NO,Conc
193,",",Conc
194,при,Conc
195,этом,Conc
196,концентрация,Conc
197,N2O,Conc
198,и,Conc
199,NO2,Conc
200,незначительна,Conc
201,.,O
202,Показано,O
203,",",O
204,что,O
205,с,Conc
206,точки,Conc
207,зрения,Conc
208,снижения,Conc
209,концентрации,Conc
210,NO,Conc
211,в,Conc
212,зоне,Conc
213,конечных,Conc
214,продуктов,Conc
215,горения,Conc
216,наиболее,Conc
217,оправдано,Conc
218,использовать,Conc
219,горючие,Conc
220,смеси,Conc
221,с,Conc
222,небольшим,Conc
223,избытком,Conc
224,топлива,Conc
225,.,O
226,Кроме,O
227,того,O
228,",",O
229,было,O
230,проанализировано,Contrib
231,влияние,Contrib
232,величины,Contrib
233,коэффициента,Contrib
234,избытка,Contrib
235,топлива,Contrib
236,на,Contrib
237,пиковую,Contrib
238,концентрацию,Contrib
239,NO,Contrib
240,",",Contrib
241,N2O,Contrib
242,и,Contrib
243,NO2,Contrib
244,.,O
245,Было,O
246,показано,O
247,",",O
248,что,O
249,для,Conc
250,снижения,Conc
251,пиковой,Conc
252,концентрации,Conc
253,NO,Conc
254,",",Conc
255,N2O,Conc
256,и,Conc
257,NO2,Conc
258,также,Conc
259,предпочтительно,Conc
260,использовать,Conc
261,богатые,Conc
262,топливные,Conc
263,смеси,Conc
264,.,O
