id,token,tag
0,Представлены,O
1,результаты,O
2,исследований,Contrib
3,развития,Contrib
4,поперечной,Contrib
5,неустойчивости,Contrib
6,сильноточного,Contrib
7,релятивистского,Contrib
8,электронного,Contrib
9,пучка,Contrib
10,в,Contrib
11,линейном,Contrib
12,индукционном,Contrib
13,ускорителе,Contrib
14,(,Contrib
15,ЛИУ,Contrib
16,),Contrib
17,на,Contrib
18,энергию,Contrib
19,электронов,Contrib
20,до,Contrib
21,5,Contrib
22,МэВ,Contrib
23,",",O
24,созданном,O
25,в,O
26,ИЯФ,O
27,СО,O
28,РАН,O
29,совместно,O
30,с,O
31,РФЯЦ,O
32,ВНИИТФ,O
33,.,O
34,Эти,O
35,результаты,O
36,получены,O
37,с,O
38,помощью,O
39,программного,O
40,комплекса,O
41,",",O
42,позволяющего,O
43,моделировать,O
44,динамику,O
45,развития,O
46,неустойчивости,O
47,",",O
48,а,O
49,также,O
50,рассчитывать,O
51,средний,O
52,инкремент,O
53,ее,O
54,развития,O
55,по,O
56,длине,O
57,ускорителя,O
58,.,O
59,Комплекс,O
60,состоит,O
61,из,O
62,четырех,O
63,основных,O
64,частей,O
65,.,O
66,Первая,O
67,из,O
68,них,O
69,",",O
70,выполненная,O
71,на,O
72,основе,O
73,трехмерной,Method
74,модели,Method
75,электродинамической,Method
76,системы,Method
77,ускоряющего,O
78,модуля,O
79,ЛИУ,O
80,",",O
81,позволяет,O
82,рассчитывать,O
83,основные,O
84,характеристики,O
85,собственных,O
86,электромагнитных,O
87,колебаний,O
88,такого,O
89,модуля,O
90,",",O
91,вторая,O
92,и,O
93,третья,O
94,части,O
95,созданы,O
96,для,O
97,нахождения,O
98,трехмерных,O
99,ускоряющих,O
100,электрических,O
101,и,O
102,фокусирующих,O
103,магнитных,O
104,полей,O
105,соответственно,O
106,.,O
107,В,O
108,последней,O
109,части,O
110,комплекса,O
111,производится,O
112,решение,O
113,системы,O
114,обыкновенных,O
115,.,O
